pb obsmode magsys magzero
u_CSP filters/LCO/Swope/u_tel_ccd_atm_ext_1.2.dat abmag 0.
g_CSP filters/LCO/Swope/g_tel_ccd_atm_ext_1.2.dat abmag 0.
r_CSP filters/LCO/Swope/r_tel_ccd_atm_ext_1.2.dat abmag 0.
i_CSP filters/LCO/Swope/i_tel_ccd_atm_ext_1.2.dat abmag 0.
B_CSP filters/LCO/Swope/B_tel_ccd_atm_ext_1.2.dat vegamag 0.
V_CSP_3014 filters/LCO/Swope/V_LC3014_tel_ccd_atm_ext_1.2.dat vegamag 0. 
V_CSP_3009 filters/LCO/Swope/V_LC3009_tel_ccd_atm_ext_1.2.dat vegamag 0.
V_CSP filters/LCO/Swope/V_LC9844_tel_ccd_atm_ext_1.2.dat vegamag 0. 
Y_WIRC filters/LCO/Dupont/Y_DUP_TAM_scan_atm.dat vegamag 0.
J_WIRC filters/LCO/Dupont/J_DUP_TAM_scan_atm.dat vegamag 0.
H_WIRC filters/LCO/Dupont/H_DUP_TAM_scan_atm.dat vegamag 0.
K_WIRC filters/LCO/Dupont/K_DUP_TAM_scan_atm.dat vegamag 0.
Y_RC   filters/LCO/Swope/Y_SWO_TAM_scan_atm.dat vegamag 0.
J_RC1  filters/LCO/Swope/Jrc1_SWO_TAM_scan_atm.dat vegamag 0.
J_RC2  filters/LCO/Swope/Jrc2_SWO_TAM_scan_atm.dat vegamag 0.
H_RC   filters/LCO/Swope/H_SWO_TAM_scan_atm.dat vegamag 0.
u_prime filters/USNO/USNO40/usno_u.res abmag 0.
r_prime filters/USNO/USNO40/usno_r.res abmag 0.
i_prime filters/USNO/USNO40/usno_i.res abmag 0.
J filters/standard/2MASS_PAIRITEL/2MASS_PAIRITEL_J.dat  vegamag 0.
H filters/standard/2MASS_PAIRITEL/2MASS_PAIRITEL_H.dat  vegamag 0. 
K filters/standard/2MASS_PAIRITEL/2MASS_PAIRITEL_Ks.dat vegamag 0. 
V filters/standard/stritzinger/v_stritzinger vegamag 0.
I filters/standard/stritzinger/i_stritzinger vegamag 0.
U filters/standard/stritzinger/u_stritzinger vegamag 0.
R filters/standard/stritzinger/r_stritzinger vegamag 0.
B filters/standard/stritzinger/b_stritzinger vegamag 0.
Y_AND filters/CTIO/ANDICAM/Yandicam.dat vegamag 0.
J_AND filters/CTIO/ANDICAM/Jandicam.dat vegamag 0.
H_AND filters/CTIO/ANDICAM/Handicam.dat vegamag 0.
K_AND filters/CTIO/ANDICAM/Kandicam.dat vegamag 0.
g_PS1 filters/PS1/g_filt_revised.txt abmag 0.
r_PS1 filters/PS1/r_filt_tonry.txt abmag 0.
i_PS1 filters/PS1/i_filt_tonry.txt abmag 0.
z_PS1 filters/PS1/z_filt_tonry.txt abmag 0.
y_PS1 filters/PS1/y_filt_tonry.txt abmag 0.
u_DES filters/DECam/decam_u.txt abmag 0.
g_DES filters/DECam/decam_g.txt abmag 0.
r_DES filters/DECam/decam_r.txt abmag 0.
i_DES filters/DECam/decam_i.txt abmag 0.
z_DES filters/DECam/decam_z.txt abmag 0.
y_DES filters/DECam/decam_y.txt abmag 0.
J_HST WFC3,IR,F125W abmag 0.
H_HST WFC3,IR,F160W abmag 0.
Y_P filters/standard/Persson/yfilter vegamag 0.
J_P filters/standard/Persson/jfilter vegamag 0.
H_P filters/standard/Persson/hfilter vegamag 0.
K_P filters/standard/Persson/kfilter vegamag 0.
F300X WFC3,UVIS2,F300X abmag 0.
F225W WFC3,UVIS2,F225W abmag 0.
F336W WFC3,UVIS2,F336W abmag 0.
F275W WFC3,UVIS2,F275W abmag 0.
F390W WFC3,UVIS2,F390W abmag 0.
F438W WFC3,UVIS2,F438W abmag 0.
F475W WFC3,UVIS2,F475W abmag 0.
F555W WFC3,UVIS2,F555W abmag 0.
F625W WFC3,UVIS2,F625W abmag 0.
F814W WFC3,UVIS2,F814W abmag 0.
F105W WFC3,IR,F105W abmag 0.
F125W WFC3,IR,F125W abmag 0.
F140W WFC3,IR,F140W abmag 0.
F160W WFC3,IR,F160W abmag 0.
U_SWIFT filters/Swift/UVOT/photonU_UVOT.dat vegamag 0.
B_SWIFT filters/Swift/UVOT/photonB_UVOT.dat vegamag 0.
V_SWIFT filters/Swift/UVOT/photonV_UVOT.dat vegamag 0.
UVW1 filters/Swift/UVOT/photonUVW1.dat vegamag 0.
UVW2 filters/Swift/UVOT/photonUVW2.dat vegamag 0.
UVM2 filters/Swift/UVOT/photonUVM2.dat vegamag 0.
